relative_path,label,class_name,cv_fold,split
waste_type_identification/battery/battery1.jpg,0,Battery,5,train
waste_type_identification/battery/battery10.jpg,0,Battery,2,train
waste_type_identification/battery/battery100.jpg,0,Battery,2,train
waste_type_identification/battery/battery101.jpg,0,Battery,1,train
waste_type_identification/battery/battery102.jpg,0,Battery,1,train
waste_type_identification/battery/battery103.jpg,0,Battery,1,train
waste_type_identification/battery/battery104.jpg,0,Battery,2,train
waste_type_identification/battery/battery105.jpg,0,Battery,3,validation
waste_type_identification/battery/battery106.jpg,0,Battery,3,validation
waste_type_identification/battery/battery107.jpg,0,Battery,4,train
waste_type_identification/battery/battery108.jpg,0,Battery,3,validation
waste_type_identification/battery/battery109.jpg,0,Battery,3,validation
waste_type_identification/battery/battery11.jpg,0,Battery,3,validation
waste_type_identification/battery/battery110.jpg,0,Battery,1,train
waste_type_identification/battery/battery111.jpg,0,Battery,2,train
waste_type_identification/battery/battery112.jpg,0,Battery,5,train
waste_type_identification/battery/battery113.jpg,0,Battery,5,train
waste_type_identification/battery/battery114.jpg,0,Battery,3,validation
waste_type_identification/battery/battery115.jpg,0,Battery,5,train
waste_type_identification/battery/battery116.jpg,0,Battery,1,train
waste_type_identification/battery/battery117.jpg,0,Battery,1,train
waste_type_identification/battery/battery118.jpg,0,Battery,5,train
waste_type_identification/battery/battery119.jpg,0,Battery,1,train
waste_type_identification/battery/battery12.jpg,0,Battery,1,train
waste_type_identification/battery/battery120.jpg,0,Battery,4,train
waste_type_identification/battery/battery121.jpg,0,Battery,3,validation
waste_type_identification/battery/battery122.jpg,0,Battery,2,train
waste_type_identification/battery/battery123.jpg,0,Battery,2,train
waste_type_identification/battery/battery124.jpg,0,Battery,5,train
waste_type_identification/battery/battery125.jpg,0,Battery,1,train
waste_type_identification/battery/battery126.jpg,0,Battery,2,train
waste_type_identification/battery/battery127.jpg,0,Battery,2,train
waste_type_identification/battery/battery128.jpg,0,Battery,1,train
waste_type_identification/battery/battery129.jpg,0,Battery,3,validation
waste_type_identification/battery/battery13.jpg,0,Battery,4,train
waste_type_identification/battery/battery130.jpg,0,Battery,4,train
waste_type_identification/battery/battery131.jpg,0,Battery,2,train
waste_type_identification/battery/battery132.jpg,0,Battery,1,train
waste_type_identification/battery/battery133.jpg,0,Battery,2,train
waste_type_identification/battery/battery134.jpg,0,Battery,5,train
waste_type_identification/battery/battery135.jpg,0,Battery,3,validation
waste_type_identification/battery/battery136.jpg,0,Battery,2,train
